code,date,opponent,gf,ga,result,tournament,neutral
EGY,2026-01-14,SEN,0,1,L,African Cup of Nations,True
EGY,2026-01-17,NIG,0,0,D,African Cup of Nations,True
IRN,2024-03-26,TUR,1,0,W,FIFA World Cup qualification,False
IRN,2024-06-06,HON,4,2,W,FIFA World Cup qualification,False
IRN,2024-06-11,UZB,0,0,D,FIFA World Cup qualification,False
IRN,2024-09-05,KYR,1,0,W,FIFA World Cup qualification,False
IRN,2024-09-10,UNI,1,0,W,FIFA World Cup qualification,False
IRN,2024-10-10,UZB,0,0,D,FIFA World Cup qualification,False
IRN,2024-10-15,QAT,4,1,W,FIFA World Cup qualification,True
IRN,2024-11-14,NOR,3,2,W,FIFA World Cup qualification,True
IRN,2024-11-19,KYR,3,2,W,FIFA World Cup qualification,False
IRN,2025-03-20,UNI,2,0,W,FIFA World Cup qualification,False
IRN,2025-03-25,UZB,2,2,D,FIFA World Cup qualification,False
IRN,2025-06-05,QAT,0,1,L,FIFA World Cup qualification,False
IRN,2025-06-10,NOR,3,0,W,FIFA World Cup qualification,False
IRN,2025-11-13,CPV,0,0,D,Al Ain International Cup,True
IRN,2025-11-18,UZB,0,0,D,Al Ain International Cup,True
NZL,2024-06-18,SOL,3,0,W,Oceania Nations Cup,True
NZL,2024-06-21,VAN,4,0,W,Oceania Nations Cup,False
NZL,2024-06-27,TAH,5,0,W,Oceania Nations Cup,True
NZL,2024-06-30,VAN,3,0,W,Oceania Nations Cup,False
NZL,2024-10-11,TAH,3,0,W,FIFA World Cup qualification,True
NZL,2024-11-15,VAN,8,1,W,FIFA World Cup qualification,False
NZL,2024-11-18,SAM,8,0,W,FIFA World Cup qualification,False
NZL,2025-03-21,FIJ,7,0,W,FIFA World Cup qualification,False
NZL,2025-03-24,NEW,3,0,W,FIFA World Cup qualification,False
NZL,2025-06-07,CIV,1,0,W,Canadian Shield,True
NZL,2025-06-10,UKR,1,2,L,Canadian Shield,True
NZL,2025-09-05,AUS,0,1,L,Soccer Ashes,False
NZL,2025-09-09,AUS,1,3,L,Soccer Ashes,False
NZL,2026-03-27,FIN,0,2,L,FIFA Series,False
