fixture_id,competition,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books
11889504,AFCON,2019,2019-07-06,Nigeria,Cameroon,3,2,0,0.36874677668901495,0.3419288292934502,0.2893243940175348,27
11889505,AFCON,2019,2019-07-06,Egypt,South Africa,0,1,2,0.6147900930967856,0.25083435798348847,0.13437554891972597,23
11889506,AFCON,2019,2019-07-07,Madagascar,Congo DR,2,2,1,0.23153252480705624,0.3164277839029768,0.4520396912899669,21
11889507,AFCON,2019,2019-07-07,Algeria,Guinea,3,0,0,0.578352620830497,0.26186521443158617,0.15978216473791695,23
11889508,AFCON,2019,2019-07-08,Mali,Côte d'Ivoire,0,1,2,0.30466174424995984,0.33138645865785105,0.36395179709218917,22
11889509,AFCON,2019,2019-07-08,Ghana,Tunisia,1,1,1,0.39308112482298196,0.3253085170948817,0.2816103580821363,23
11901459,AFCON,2019,2019-07-10,Senegal,Benin,1,0,0,0.690993487174849,0.2193473149849525,0.08965919784019856,26
11901510,AFCON,2019,2019-07-10,Nigeria,South Africa,2,1,0,0.43710212810987525,0.3263176068928259,0.23658026499729878,26
11903360,AFCON,2019,2019-07-11,Côte d'Ivoire,Algeria,1,1,1,0.2631578947368421,0.3157894736842105,0.42105263157894735,27
11903361,AFCON,2019,2019-07-11,Madagascar,Tunisia,0,3,2,0.18334128198299196,0.28966324565043694,0.5269954723665711,26
11906616,AFCON,2019,2019-07-14,Senegal,Tunisia,1,0,0,0.4924143969137744,0.302056115678737,0.20552948740748847,25
11906617,AFCON,2019,2019-07-14,Algeria,Nigeria,2,1,0,0.36189683860232946,0.32445923460898507,0.3136439267886855,25
11908377,AFCON,2019,2019-07-17,Tunisia,Nigeria,0,1,2,0.2916584109371904,0.29621557360808404,0.41212601545472566,28
11908376,AFCON,2019,2019-07-19,Senegal,Algeria,0,1,2,0.33688014243423486,0.33155992878288265,0.33155992878288265,28
18365781,AFCON,2021,2022-01-09,Cameroon,Burkina Faso,2,1,0,0.5770816158285242,0.2671063478977741,0.15581203627370155,35
